,ru_name,en_name,country,year,genre,rating,imdb_rating
88,Ледниковый период,Ice Age,['США'],2002,"['комедия', 'мультфильмы', 'приключения', 'семейный']",8.1,7.5
89,"Знакомьтесь, Джо Блэк",Meet Joe Black,['США'],1998,"['драма', 'мелодрама', 'фэнтези']",8.1,7.2
90,Изгой,Cast Away,['США'],2000,"['драма', 'приключения']",8.1,7.8
91,Шестое чувство,The Sixth Sense,['США'],1999,"['драма', 'триллер', 'детектив']",8.1,8.2
92,Остров,,['Россия'],2006,['драма'],8.1,7.8
93,Берегись автомобиля,,['СССР'],1966,"['комедия', 'детектив', 'криминал']",8.1,8.0
94,Как приручить дракона,How to Train Your Dragon,['США'],2010,"['комедия', 'мультфильмы', 'приключения', 'семейный', 'фэнтези']",8.1,8.1
95,Зверополис,Zootopia,['США'],2016,"['комедия', 'мультфильмы', 'приключения', 'семейный']",8.1,8.0
96,Ходячий замок,Hauru no ugoku shiro,['Япония'],2004,"['мелодрама', 'аниме', 'мультфильмы', 'приключения', 'фантастика', 'фэнтези']",8.1,8.2
97,Семь жизней,Seven Pounds,['США'],2008,['драма'],8.1,7.6
98,"Аты-баты, шли солдаты...",,['СССР'],1976,"['драма', 'военный']",8.1,7.7
99,Тайна третьей планеты,,['СССР'],1981,"['мультфильмы', 'приключения', 'семейный', 'фантастика', 'фэнтези']",8.1,7.8
100,Двенадцать месяцев,,['СССР'],1956,"['мультфильмы', 'семейный', 'фэнтези']",8.1,7.4
101,Римские каникулы,Roman Holiday,['США'],1953,"['драма', 'мелодрама', 'комедия']",8.1,8.0
102,Мужики!,,['СССР'],1981,['драма'],8.1,7.6
103,Брестская крепость,,"['Россия', 'Беларусь']",2010,"['драма', 'военный']",8.1,7.4
104,Экипаж,,['СССР'],1979,"['драма', 'триллер', 'боевик']",8.1,7.3
105,Золотой теленок,,['СССР'],1968,['комедия'],8.1,8.3
106,Как украсть миллион,How to Steal a Million,['США'],1966,"['мелодрама', 'комедия', 'криминал']",8.1,7.5
107,Холодное лето пятьдесят третьего,,['СССР'],1987,"['драма', 'боевик', 'криминал']",8.1,7.8
108,"Свой среди чужих, чужой среди своих",,['СССР'],1974,"['драма', 'боевик']",8.1,7.4
109,Заплати другому,Pay It Forward,['США'],2000,"['драма', 'мелодрама']",8.1,7.2
110,Остров сокровищ,,['СССР'],1988,['мультфильмы'],8.1,8.2
111,Жизнь Дэвида Гейла,The Life of David Gale,"['США', 'Германия', 'Великобритания']",2003,"['драма', 'триллер', 'криминал']",8.1,7.5
112,Огни большого города,City Lights,['США'],1931,"['драма', 'мелодрама', 'комедия']",8.1,8.5
113,Война и мир,,['СССР'],1965,"['драма', 'мелодрама', 'военный', 'исторический']",8.1,8.3
114,Калина красная,,['СССР'],1973,['драма'],8.1,7.6
115,Блеф,Bluff storia di truffe e di imbroglioni,['Италия'],1976,"['комедия', 'криминал']",8.1,7.3
116,Бег,,['СССР'],1970,"['драма', 'военный', 'исторический']",8.1,7.8
117,Белые росы,,['СССР'],1983,['комедия'],8.1,7.5
118,Пробуждение,Awakenings,['США'],1990,"['драма', 'биография']",8.1,7.8
119,Щит и меч,,"['СССР', 'Германия', 'Польша']",1968,"['драма', 'военный', 'приключения']",8.1,7.8
120,Деловые люди,,['СССР'],1962,"['драма', 'комедия', 'вестерн']",8.1,7.6
121,12 разгневанных мужчин,12 Angry Men,['США'],1957,"['драма', 'детектив', 'криминал']",8.1,9.0
122,"Весна, лето, осень, зима... и снова весна",Bom yeoreum gaeul gyeoul geurigo bom,"['Германия', 'Южная Корея']",2003,['драма'],8.1,8.0
123,Интерстеллар,Interstellar,"['США', 'Великобритания']",2014,"['драма', 'приключения', 'фантастика']",8.1,8.7
124,Знахарь,Znachor,['Польша'],1981,"['драма', 'мелодрама']",8.1,7.8
125,Пока не сыграл в ящик,The Bucket List,['США'],2007,"['драма', 'комедия', 'приключения']",8.1,7.4
126,Грань будущего,The Edge of Tomorrow,"['США', 'Австралия']",2014,"['боевик', 'приключения', 'фантастика']",8.0,7.9
127,Аватар,Avatar,"['США', 'Великобритания']",2009,"['драма', 'боевик', 'приключения', 'фантастика']",8.0,7.9
128,Властелин колец: Возвращение короля,The Lord of the Rings: The Return of the King,"['США', 'Новая Зеландия']",2003,"['приключения', 'фэнтези']",8.0,9.0
129,Властелин колец: Братство кольца,The Lord of the Rings: The Fellowship of the Ring,"['США', 'Новая Зеландия']",2001,"['боевик', 'приключения', 'фэнтези']",8.0,8.9
130,Матрица,The Matrix,"['США', 'Австралия']",1999,"['боевик', 'фантастика']",8.0,8.7
131,Иллюзия обмана,Now You See Me,"['США', 'Франция']",2013,"['триллер', 'детектив', 'криминал']",8.0,7.2
132,Пятый элемент,The Fifth Element,['Франция'],1997,"['комедия', 'триллер', 'боевик', 'фантастика']",8.0,7.6
133,День сурка,Groundhog Day,['США'],1993,"['мелодрама', 'комедия', 'фэнтези']",8.0,8.0
134,Шрэк,Shrek,['США'],2001,"['комедия', 'мультфильмы', 'приключения', 'семейный', 'фэнтези']",8.0,7.9
135,Терминатор,The Terminator,"['США', 'Великобритания']",1984,"['триллер', 'боевик', 'фантастика']",8.0,8.1
136,Люди в черном,Men in Black,['США'],1997,"['комедия', 'фантастика']",8.0,7.3
137,Брат 2,,"['Россия', 'США']",2000,"['боевик', 'криминал']",8.0,7.6
138,Эффект бабочки,The Butterfly Effect,"['США', 'Канада']",2004,"['триллер', 'фантастика']",8.0,7.6
139,Шерлок Холмс,Sherlock Holmes,"['США', 'Германия', 'Великобритания']",2009,"['комедия', 'триллер', 'боевик', 'детектив', 'приключения']",8.0,7.6
140,Одиннадцать друзей Оушена,Ocean's Eleven,['США'],2001,"['триллер', 'криминал']",8.0,7.7
141,Пираты Карибского моря: Сундук мертвеца,Pirates of the Caribbean: Dead Man's Chest,['США'],2006,"['боевик', 'приключения', 'фэнтези']",8.0,7.4
142,Ворошиловский стрелок,,['Россия'],1999,"['драма', 'криминал']",8.0,7.4
143,Чужой,Alien,"['США', 'Великобритания']",1979,"['ужасы', 'фантастика']",8.0,8.5
144,Покровские ворота,,['СССР'],1982,"['драма', 'мелодрама', 'комедия', 'мюзикл']",8.0,8.0
145,Пираты Карибского моря: На краю света,Pirates of the Caribbean: At World's End,['США'],2007,"['боевик', 'приключения', 'фэнтези']",8.0,7.1
146,Корпорация монстров,"Monsters, Inc.",['США'],2001,"['комедия', 'мультфильмы', 'приключения', 'семейный', 'фэнтези']",8.0,8.1
147,Двенадцать стульев,,['СССР'],1971,['комедия'],8.0,8.2
148,Иллюзионист,The Illusionist,"['США', 'Чешская Республика']",2006,"['драма', 'мелодрама', 'триллер']",8.0,7.5
149,Счастливое число Слевина,Lucky Number Slevin,"['США', 'Германия']",2005,"['драма', 'триллер', 'детектив', 'криминал']",8.0,7.7
150,Обыкновенное чудо,,['СССР'],1978,"['комедия', 'фэнтези']",8.0,8.1
